wordpress.com, 192.0.78.17
amazon.com, 176.32.103.205
apple.com, 17.178.96.59
tudou.com, 106.11.186.1
sohu.com, 221.179.178.112
windows.com, 104.43.195.251
yahoo.co.jp, 182.22.59.229
ebay.com, 66.211.160.86
hao123.com, 123.125.114.224
fc2.com, 34.215.74.55
56.com, 125.88.156.119
paypal.com, 64.4.250.33
pps.tv, 101.227.188.174
xunlei.com, 182.118.18.100
sogou.com, 118.191.216.42
rakuten.co.jp, 133.237.61.176
ku6.com, 123.59.156.84
about.com, 151.101.65.121
facebook.com, 31.13.71.36
youtube.com, 172.217.3.14
live.com, 204.79.197.212
yahoo.com, 206.190.39.42
msn.com, 13.82.28.61
wikipedia.org, 208.80.153.224
tmall.com, 140.205.130.99
microsoft.com, 104.40.211.35
blogspot.com, 172.217.3.9
baidu.com, 220.181.57.217
bing.com, 204.79.197.200
qq.com, 125.39.240.113
taobao.com, 140.205.94.189
soso.com, 123.125.125.116
163.com, 123.58.180.8
adobe.com, 192.147.130.204
ask.com, 34.200.165.14
twitter.com, 104.244.42.129
orkut.com.br, 
sina.com.cn, 202.108.33.60
mozilla.com, 63.245.213.17
youku.com, 106.11.186.1
wmfo.org, 23.92.21.128
sdjjdsaf.com, 
andysayler.com, 162.243.49.20
ifeng.com, 210.51.19.63
yandex.ru, 5.255.255.70
bbc.co.uk, 212.58.246.79
goo.ne.jp, 153.254.147.65
myspace.com, 63.135.90.70
cnet.com, 64.30.228.118
go.com, 23.236.60.174
skype.com, 40.115.34.155
mail.ru, 217.69.139.201
orkut.com, 216.239.32.21
4399.com, 118.184.184.70
flickr.com, 69.147.92.11
ameblo.jp, 173.222.32.33
naver.com, 125.209.222.141
linkedin.com, 108.174.10.10
4shared.com, 204.155.146.95
amazon.co.jp, 52.119.164.121
aol.com, 149.174.107.100
imdb.com, 207.171.166.22
dailymotion.com, 195.8.215.136
